Player's Name,Height,Weight,Birthplace City,Birthplace State,College,College City,College State,Plays From,Plays From State,Birth Date,Exempt Status,Combined States,Birthplace City and State,College City and State,Plays From City and State,Headshot Link,,
Neal Shipley,N/A,N/A,Pittsburgh,Pennsylvania,James Madison University,Harrisonburg,Virginia,"Pittsburgh, PA",Pennsylvania,1/24/2001,N/A,Pennsylvania-Virginia-Pennsylvania,"Pittsburgh, Pennsylvania","Harrisonburg, Virginia","Pittsburgh, Pennsylvania","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_63807.png",,
Richard Lee,N/A,N/A,Taipei,Taiwan,None,None,None,"Taipei, Taiwan",Taiwan,10/29/1990,N/A,Taiwan-None-Taiwan,"Taipei, Taiwan",N/A,"Taipei, Taiwan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_31109.png",,
Joost Luiten,N/A,N/A,Bleiswijk,Netherlands,None,None,None,"Bleiswijk, Netherlands",Netherlands,1/7/1986,N/A,Netherlands-None-Netherlands,"Bleiswijk, Netherlands",N/A,"Bleiswijk, Netherlands","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_28300.png",,
Louis Oosthuizen,"5'10""",180,Mossel Bay,South Africa,None,None,None,"Jupiter, FL",Florida,10/19/1982,N/A,South Africa-None-Florida,"Mossel Bay, South Africa",N/A,"Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_26329.png",,
Jeff Winther,N/A,N/A,Copenhagen,Denmark,None,None,None,"Copenhagen, Denmark",Denmark,10/5/1988,N/A,Denmark-None-Denmark,"Copenhagen, Denmark",N/A,"Copenhagen, Denmark","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35709.png",,
John Pak,N/A,N/A,Scotch Plains,New Jersey,Florida State University,Tallahassee,Florida,"Scotch Plains, NJ",New Jersey,11/24/1998,N/A,New Jersey-Florida-New Jersey,"Scotch Plains, New Jersey","Tallahassee, Florida","Scotch Plains, New Jersey","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59160.png",,
Hank Lebioda,N/A,N/A,Orlando,Florida,Florida State University,Tallahassee,Florida,"Orlando, FL",Florida,1/14/1994,N/A,Florida-Florida-Florida,"Orlando, Florida","Tallahassee, Florida","Orlando, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_49766.png",,
Francesco Laporta,N/A,N/A,Naples,Italy,None,None,None,"Naples, Italy",Italy,10/10/1990,N/A,Italy-None-Italy,"Naples, Italy",N/A,"Naples, Italy","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34607.png",,
Vincent Norrman,N/A,N/A,Stockholm,Sweden,Florida State University,Tallahassee,Florida,"Stockholm, Sweden",Sweden,12/24/1997,N/A,Sweden-Florida-Sweden,"Stockholm, Sweden","Tallahassee, Florida","Stockholm, Sweden","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51070.png",,
MK Kim,N/A,N/A,Seoul,South Korea,None,None,None,"Seoul, South Korea",South Korea,11/14/1997,N/A,South Korea-None-South Korea,"Seoul, South Korea",N/A,"Seoul, South Korea","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48979.png",,
Takahiro Hataji,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,7/18/1994,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_32686.png",,
Hamish Brown,N/A,N/A,Copenhagen,Denmark,None,None,None,"Copenhagen, Denmark",Denmark,11/11/1998,N/A,Denmark-None-Denmark,"Copenhagen, Denmark",N/A,"Copenhagen, Denmark","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_50672.png",,
Suteepat Prateeptienchai,N/A,N/A,Bangkok,Thailand,None,None,None,"Bangkok, Thailand",Thailand,6/22/1998,N/A,Thailand-None-Thailand,"Bangkok, Thailand",N/A,"Bangkok, Thailand","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_49562.png",,
Ricky Castillo,N/A,N/A,Yorba Linda,California,University of Florida,Gainesville,Florida,"Yorba Linda, CA",California,2/28/2001,N/A,California-Florida-California,"Yorba Linda, California","Gainesville, Florida","Yorba Linda, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59440.png",,
Joakim Lagergren,N/A,N/A,Stockholm,Sweden,None,None,None,"Stockholm, Sweden",Sweden,11/20/1991,N/A,Sweden-None-Sweden,"Stockholm, Sweden",N/A,"Stockholm, Sweden","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34317.png",,
Camilo Villegas,"5'9""",150,Medellín,Colombia,University of Florida,Gainesville,Florida,"Jupiter, FL",Florida,1/7/1982,N/A,Colombia-Florida-Florida,"Medellín, Colombia","Gainesville, Florida","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_27770.png",,
Lanto Griffin,N/A,N/A,Richmond,Virginia,Virginia Commonwealth University,Richmond,Virginia,"Orlando, FL",Florida,6/15/1988,N/A,Virginia-Virginia-Florida,"Richmond, Virginia","Richmond, Virginia","Orlando, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35310.png",,
Taylor Montgomery,N/A,N/A,Las Vegas,Nevada,"University of Nevada, Las Vegas",Las Vegas,Nevada,"Las Vegas, NV",Nevada,1/30/1995,N/A,Nevada-Nevada-Nevada,"Las Vegas, Nevada","Las Vegas, Nevada","Las Vegas, Nevada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55789.png",,
Chiehpo Lee,N/A,N/A,Taipei,Taiwan,None,None,None,"Taipei, Taiwan",Taiwan,12/30/1995,N/A,Taiwan-None-Taiwan,"Taipei, Taiwan",N/A,"Taipei, Taiwan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_37183.png",,
Christo Lamprecht,N/A,N/A,Pretoria,South Africa,Georgia Tech,Atlanta,Georgia,"Pretoria, South Africa",South Africa,1/30/2001,N/A,South Africa-Georgia-South Africa,"Pretoria, South Africa","Atlanta, Georgia","Pretoria, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54422.png",,
Richard Mansell,N/A,N/A,Stafford,England,None,None,None,"Stafford, England",England,3/24/1995,N/A,England-None-England,"Stafford, England",N/A,"Stafford, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54190.png",,
Cristobal Del Solar,N/A,N/A,Viña del Mar,Chile,Florida State University,Tallahassee,Florida,"Jupiter, FL",Florida,11/2/1993,N/A,Chile-Florida-Florida,"Viña del Mar, Chile","Tallahassee, Florida","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39859.png",,
Bud Cauley,N/A,N/A,Jacksonville,Florida,University of Alabama,Tuscaloosa,Alabama,"Jacksonville, FL",Florida,3/16/1990,N/A,Florida-Alabama-Florida,"Jacksonville, Florida","Tuscaloosa, Alabama","Jacksonville, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34021.png",,
David Skinns,N/A,N/A,Lincoln,England,University of Tennessee,Knoxville,Tennessee,"Lincoln, England",England,2/1/1982,N/A,England-Tennessee-England,"Lincoln, England","Knoxville, Tennessee","Lincoln, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_27139.png",,
Kyle Westmoreland,N/A,N/A,Charleston,South Carolina,Air Force Academy,Colorado Springs,Colorado,"Daniel Island, SC",South Carolina,9/23/1991,N/A,South Carolina-Colorado-South Carolina,"Charleston, South Carolina","Colorado Springs, Colorado","Daniel Island, South Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_52411.png",,
Frederik Kjettrup,N/A,N/A,Aabenraa,Denmark,Florida State University,Tallahassee,Florida,"Aabenraa, Denmark",Denmark,4/27/2000,N/A,Denmark-Florida-Denmark,"Aabenraa, Denmark","Tallahassee, Florida","Aabenraa, Denmark","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55077.png",,
Shubhankar Sharma,N/A,N/A,Chandigarh,India,None,None,None,"Chandigarh, India",India,7/21/1996,N/A,India-None-India,"Chandigarh, India",N/A,"Chandigarh, India","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39113.png",,
Trace Crowe,N/A,N/A,Auburn,Alabama,Auburn University,Auburn,Alabama,"Auburn, AL",Alabama,8/22/1996,N/A,Alabama-Alabama-Alabama,"Auburn, Alabama","Auburn, Alabama","Auburn, Alabama","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_52514.png",,
Quade Cummins,N/A,N/A,Midwest City,Oklahoma,University of Oklahoma,Norman,Oklahoma,"Midwest City, OK",Oklahoma,5/15/1996,N/A,Oklahoma-Oklahoma-Oklahoma,"Midwest City, Oklahoma","Norman, Oklahoma","Midwest City, Oklahoma","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58605.png",,
Karl Vilips,N/A,N/A,Perth,Australia,Stanford University,Palo Alto,California,"Perth, Australia",Australia,11/15/2001,N/A,Australia-California-Australia,"Perth, Australia","Palo Alto, California","Perth, Australia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54304.png",,
Ivan Cantero Gutierrez,N/A,N/A,Madrid,Spain,None,None,None,"Madrid, Spain",Spain,5/24/1998,N/A,Spain-None-Spain,"Madrid, Spain",N/A,"Madrid, Spain","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47847.png",,
Robby Shelton,"6'0""",190,Mobile,Alabama,University of Alabama,Tuscaloosa,Alabama,"Wilmer, AL",Alabama,8/25/1995,N/A,Alabama-Alabama-Alabama,"Mobile, Alabama","Tuscaloosa, Alabama","Wilmer, Alabama","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46441.png",,
Marcus Kinhult,N/A,N/A,Gothenburg,Sweden,None,None,None,"Gothenburg, Sweden",Sweden,7/24/1996,N/A,Sweden-None-Sweden,"Gothenburg, Sweden",N/A,"Gothenburg, Sweden","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46404.png",,
Austin Smotherman,N/A,N/A,Dallas,Texas,Southern Methodist University,Dallas,Texas,"Dallas, TX",Texas,5/19/1994,N/A,Texas-Texas-Texas,"Dallas, Texas","Dallas, Texas","Dallas, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_50095.png",,
Darius Van Driel,N/A,N/A,The Hague,Netherlands,None,None,None,"The Hague, Netherlands",Netherlands,12/2/1989,N/A,Netherlands-None-Netherlands,"The Hague, Netherlands",N/A,"The Hague, Netherlands","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_32659.png",,
Sean Crocker,N/A,N/A,Harare,Zimbabwe,University of Southern California,Los Angeles,California,"Jupiter, FL",Florida,8/31/1996,N/A,Zimbabwe-California-Florida,"Harare, Zimbabwe","Los Angeles, California","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39524.png",,
Lucas Herbert,N/A,N/A,Bendigo,Australia,None,None,None,"Jupiter, FL",Florida,12/5/1995,N/A,Australia-None-Florida,"Bendigo, Australia",N/A,"Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39058.png",,
Zander Lombard,N/A,N/A,Pretoria,South Africa,None,None,None,"Pretoria, South Africa",South Africa,1/18/1995,N/A,South Africa-None-South Africa,"Pretoria, South Africa",N/A,"Pretoria, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_37447.png",,
Ollie Schniederjans,N/A,N/A,Dallas,Texas,Georgia Tech,Atlanta,Georgia,"Powder Springs, GA",Georgia,6/15/1993,N/A,Texas-Georgia-Georgia,"Dallas, Texas","Atlanta, Georgia","Powder Springs, Georgia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46501.png",,
Richie Ramsay,N/A,N/A,Aberdeen,Scotland,None,None,None,"Aberdeen, Scotland",Scotland,6/15/1983,N/A,Scotland-None-Scotland,"Aberdeen, Scotland",N/A,"Aberdeen, Scotland","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_29531.png",,
Yuto Katsuragawa,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,10/23/1998,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48632.png",,
Trav Smyth,N/A,N/A,Brisbane,Australia,None,None,None,"Brisbane, Australia",Australia,3/25/1995,N/A,Australia-None-Australia,"Brisbane, Australia",N/A,"Brisbane, Australia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47078.png",,
Martin Couvra,N/A,N/A,Nice,France,None,None,None,"Nice, France",France,4/11/2003,N/A,France-None-France,"Nice, France",N/A,"Nice, France","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_60073.png",,
Danny Walker,N/A,N/A,Bradenton,Florida,University of Virginia,Charlottesville,Virginia,"Bradenton, FL",Florida,10/23/1998,N/A,Florida-Virginia-Florida,"Bradenton, Florida","Charlottesville, Virginia","Bradenton, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54607.png",,
Brandon Stone,N/A,N/A,Pretoria,South Africa,University of Texas,Austin,Texas,"Pretoria, South Africa",South Africa,4/20/1993,N/A,South Africa-Texas-South Africa,"Pretoria, South Africa","Austin, Texas","Pretoria, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35225.png",,
Braden Thornberry,N/A,N/A,Germantown,Tennessee,University of Mississippi,Oxford,Mississippi,"Germantown, TN",Tennessee,4/11/1997,N/A,Tennessee-Mississippi-Tennessee,"Germantown, Tennessee","Oxford, Mississippi","Germantown, Tennessee","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_52144.png",,
Kevin Tway,"6'3""",175,Edmond,Oklahoma,Oklahoma State University,Stillwater,Oklahoma,"Jupiter, FL",Florida,7/23/1988,N/A,Oklahoma-Oklahoma-Florida,"Edmond, Oklahoma","Stillwater, Oklahoma","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_32333.png",,
Carl Yuan,N/A,N/A,Dalian,China,University of Washington,Seattle,Washington,"Jacksonville, FL",Florida,3/21/1997,N/A,China-Washington-Florida,"Dalian, China","Seattle, Washington","Jacksonville, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55454.png",,
Calum Hill,N/A,N/A,Edinburgh,Scotland,None,None,None,"Edinburgh, Scotland",Scotland,11/23/1994,N/A,Scotland-None-Scotland,"Edinburgh, Scotland",N/A,"Edinburgh, Scotland","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55707.png",,
Martin Laird,"6'2""",190,Glasgow,Scotland,Colorado State University,Fort Collins,Colorado,"Scottsdale, AZ",Arizona,12/29/1982,N/A,Scotland-Colorado-Arizona,"Glasgow, Scotland","Fort Collins, Colorado","Scottsdale, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_27936.png",,
Matt NeSmith,N/A,N/A,North Augusta,South Carolina,University of South Carolina,Columbia,South Carolina,"North Augusta, SC",South Carolina,9/9/1993,N/A,South Carolina-South Carolina-South Carolina,"North Augusta, South Carolina","Columbia, South Carolina","North Augusta, South Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_36871.png",,
Ryosuke Kinoshita,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,5/15/1991,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34500.png",,
Jason Scrivener,N/A,N/A,Perth,Australia,None,None,None,"Perth, Australia",Australia,4/18/1989,N/A,Australia-None-Australia,"Perth, Australia",N/A,"Perth, Australia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_31569.png",,
Sudarshan Yellamaraju,N/A,N/A,Bangalore,India,None,None,None,"Bangalore, India",India,8/14/2002,N/A,India-None-India,"Bangalore, India",N/A,"Bangalore, India","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_60386.png",,
Barend Botha,N/A,N/A,Pretoria,South Africa,None,None,None,"Pretoria, South Africa",South Africa,3/15/2001,N/A,South Africa-None-South Africa,"Pretoria, South Africa",N/A,"Pretoria, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_65408.png",,
Taiga Semikawa,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,1/11/2001,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47888.png",,
Justin Suh,"5'8""",165,San Jose,California,University of Southern California,Los Angeles,California,"Las Vegas, NV",Nevada,6/12/1997,N/A,California-California-Nevada,"San Jose, California","Los Angeles, California","Las Vegas, Nevada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_50493.png",,
Miguel Tabuena,N/A,N/A,Manila,Philippines,None,None,None,"Manila, Philippines",Philippines,10/13/1994,N/A,Philippines-None-Philippines,"Manila, Philippines",N/A,"Manila, Philippines","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35261.png",,
Wilco Nienaber,N/A,N/A,Bloemfontein,South Africa,None,None,None,"Bloemfontein, South Africa",South Africa,4/7/2000,N/A,South Africa-None-South Africa,"Bloemfontein, South Africa",N/A,"Bloemfontein, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_56272.png",,
Ryan Moore,"5'9""",170,Tacoma,Washington,"University of Nevada, Las Vegas",Las Vegas,Nevada,"Las Vegas, NV",Nevada,12/5/1982,N/A,Washington-Nevada-Nevada,"Tacoma, Washington","Las Vegas, Nevada","Las Vegas, Nevada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_26596.png",,
Zach Bauchou,N/A,N/A,Tulsa,Oklahoma,Oklahoma State University,Stillwater,Oklahoma,"Tulsa, OK",Oklahoma,1/31/1997,N/A,Oklahoma-Oklahoma-Oklahoma,"Tulsa, Oklahoma","Stillwater, Oklahoma","Tulsa, Oklahoma","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48001.png",,
Scott Jamieson,N/A,N/A,Glasgow,Scotland,None,None,None,"Glasgow, Scotland",Scotland,11/28/1983,N/A,Scotland-None-Scotland,"Glasgow, Scotland",N/A,"Glasgow, Scotland","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_31138.png",,
Eugenio Chacarra,N/A,N/A,Madrid,Spain,Oklahoma State University,Stillwater,Oklahoma,"Madrid, Spain",Spain,3/22/2000,N/A,Spain-Oklahoma-Spain,"Madrid, Spain","Stillwater, Oklahoma","Madrid, Spain","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57492.png",,
Jamie Rutherford,N/A,N/A,London,England,None,None,None,"London, England",England,10/15/1990,N/A,England-None-England,"London, England",N/A,"London, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46410.png",,
Taisei Shimizu,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,1/15/1999,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_66583.png",,
Andrea Pavan,N/A,N/A,Rome,Italy,Texas A&M University,College Station,Texas,"Rome, Italy",Italy,4/27/1989,N/A,Italy-Texas-Italy,"Rome, Italy","College Station, Texas","Rome, Italy","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_30756.png",,
Ryggs Johnston,N/A,N/A,Libby,Montana,Arizona State University,Tempe,Arizona,"Libby, MT",Montana,3/30/1999,N/A,Montana-Arizona-Montana,"Libby, Montana","Tempe, Arizona","Libby, Montana","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_63617.png",,
Sam Bennett,N/A,N/A,Madisonville,Texas,Texas A&M University,College Station,Texas,"Madisonville, TX",Texas,12/21/1999,N/A,Texas-Texas-Texas,"Madisonville, Texas","College Station, Texas","Madisonville, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59652.png",,
Chad Ramey,N/A,N/A,Greenville,Mississippi,Mississippi State University,Starkville,Mississippi,"Fulton, MS",Mississippi,8/3/1992,N/A,Mississippi-Mississippi-Mississippi,"Greenville, Mississippi","Starkville, Mississippi","Fulton, Mississippi","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47983.png",,
Hiroshi Iwata,N/A,N/A,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,8/31/1981,N/A,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_27747.png",,
Casey Jarvis,N/A,N/A,Johannesburg,South Africa,None,None,None,"Johannesburg, South Africa",South Africa,7/27/2003,N/A,South Africa-None-South Africa,"Johannesburg, South Africa",N/A,"Johannesburg, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57688.png",,
Will Chandler,N/A,N/A,Horsham,England,None,None,None,"Horsham, England",England,10/23/1997,N/A,England-None-England,"Horsham, England",N/A,"Horsham, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58933.png",,
Ryan van Velzen,N/A,N/A,Durban,South Africa,None,None,None,"Durban, South Africa",South Africa,9/11/2001,N/A,South Africa-None-South Africa,"Durban, South Africa",N/A,"Durban, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59629.png",,
