PLAYER,LOCATION,Latitude,Longitude,DISTANCE (miles),COMBINE,Local Ties,TOURNAMENT LOCATION,Latitude Tournament,Longitude Tournament,TYPE
Veer Ahlawat,,,,,Veer AhlawatNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Filippo Celli,,,,,Filippo CelliNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ben Schmidt,,,,,Ben SchmidtNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Rick Lamb,,,,,Rick LambNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Julien Sale,,,,,Julien SaleNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Scott Stallings,,,,,Scott StallingsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jens Fahrbring,,,,,Jens FahrbringNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Mikiya Akutsu,,,,,Mikiya AkutsuNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Julian Suri,,,,,Julian SuriNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Yurav Premlall,,,,,Yurav PremlallNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Zecheng Dou,,,,,Zecheng DouNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Richy Werenski,,,,,Richy WerenskiNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Thomas Walsh,,,,,Thomas WalshNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Fabián Gómez,,,,,Fabián GómezNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Galam Jeon,,,,,Galam JeonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Gunn Charoenkul,,,,,Gunn CharoenkulNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Bjorn Akesson,,,,,Bjorn AkessonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Lee Dai-han,,,,,Lee Dai-hanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Denwit David Boriboonsub,,,,,Denwit David BoriboonsubNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Taichi Kho,,,,,Taichi KhoNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Shad Tuten,,,,,Shad TutenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Taiki Yoshida,,,,,Taiki YoshidaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Sergio Garcia,,,,,Sergio GarciaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Mikael Lindberg,,,,,Mikael LindbergNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jaewoong Eom,,,,,Jaewoong EomNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Maverick Antcliff,,,,,Maverick AntcliffNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ian Snyman,,,,,Ian SnymanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Wade Ormsby,,,,,Wade OrmsbyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Sarit Suwannarut,,,,,Sarit SuwannarutNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Roberto Díaz,,,,,Roberto DíazNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Nick Gabrelcik,,,,,Nick GabrelcikNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Taehoon Ok,,,,,Taehoon OkNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Poom Saksansin,,,,,Poom SaksansinNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Mike Lorenzo-Vera,,,,,Mike Lorenzo-VeraNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Rob Oppenheim,,,,,Rob OppenheimNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
John VanDerLaan,,,,,John VanDerLaanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
,,,,,Not Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Will Cannon,,,,,Will CannonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Sandy Scott,,,,,Sandy ScottNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Patrick Cover,,,,,Patrick CoverNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Nick Bachem,,,,,Nick BachemNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Wang Wei Lun,,,,,Wang Wei LunNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Wilson Furr,,,,,Wilson FurrNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Nicholas Lindheim,,,,,Nicholas LindheimNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jimmy Walker,,,,,Jimmy WalkerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Scott Piercy,,,,,Scott PiercyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Frank Kennedy,,,,,Frank KennedyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Euan Walker,,,,,Euan WalkerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Matt Oshrine,,,,,Matt OshrineNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Matthis Besard,,,,,Matthis BesardNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Wenyi Ding,,,,,Wenyi DingNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Wil Bateman,,,,,Wil BatemanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Brandon Harkins,,,,,Brandon HarkinsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Branden Grace,,,,,Branden GraceNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Hendrik Du Plessis,,,,,Hendrik Du PlessisNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Hurly Long,,,,,Hurly LongNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Rahil Gangjee,,,,,Rahil GangjeeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Christofer Blomstrand,,,,,Christofer BlomstrandNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Tomoharu Otsuki,,,,,Tomoharu OtsukiNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Tano Goya,,,,,Tano GoyaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Daan Huizing,,,,,Daan HuizingNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Koshiro Maeda,,,,,Koshiro MaedaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ryan Burnett,,,,,Ryan BurnettNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
T.J. Vogel,,,,,T.J. VogelNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Tommy Gainey,,,,,Tommy GaineyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Tanner Gore,,,,,Tanner GoreNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Pierre Pineau,,,,,Pierre PineauNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Matthias Schwab,,,,,Matthias SchwabNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jonathan Goth-Rasmussen,,,,,Jonathan Goth-RasmussenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Étienne Papineau,,,,,Étienne PapineauNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jeffrey Kang,,,,,Jeffrey KangNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Dan McCarthy,,,,,Dan McCarthyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Dale Whitnell,,,,,Dale WhitnellNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
James Morrison,,,,,James MorrisonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Yusaku Hosono,,,,,Yusaku HosonoNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ian Holt,,,,,Ian HoltNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
JC Ritchie,,,,,JC RitchieNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Simon Forsström,,,,,Simon ForsströmNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Masahiro Kawamura,,,,,Masahiro KawamuraNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Matthew Riedel,,,,,Matthew RiedelNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ben Taylor,,,,,Ben TaylorNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Adri Arnaus,,,,,Adri ArnausNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Austin Cook,,,,,Austin CookNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Felix Mory,,,,,Felix MoryNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jbe' Kruger,,,,,Jbe' KrugerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jacques Blaauw,,,,,Jacques BlaauwNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Hideto Tanihara,,,,,Hideto TaniharaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Chanwoo Kim,,,,,Chanwoo KimNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Pieter Moolman,,,,,Pieter MoolmanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Benjamin Follett-Smith,,,,,Benjamin Follett-SmithNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Nelson Ledesma,,,,,Nelson LedesmaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Daniel Young,,,,,Daniel YoungNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Patrick Welch,,,,,Patrick WelchNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Bjorn Hellgren,,,,,Bjorn HellgrenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Sang-hee Lee,,,,,Sang-hee LeeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Brad Kennedy,,,,,Brad KennedyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Riki Kawamoto,,,,,Riki KawamotoNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Yuwa Kosaihira,,,,,Yuwa KosaihiraNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Joey Savoie,,,,,Joey SavoieNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Oliver Wilson,,,,,Oliver WilsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Garrick Porteous,,,,,Garrick PorteousNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Martin Trainer,,,,,Martin TrainerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Anthony Quayle,,,,,Anthony QuayleNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jovan Rebula,,,,,Jovan RebulaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Yuvraj Sandhu,,,,,Yuvraj SandhuNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Paul Barjon,,,,,Paul BarjonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Logan McAllister,,,,,Logan McAllisterNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Santiago Tarrio,,,,,Santiago TarrioNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Cooper Dossey,,,,,Cooper DosseyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Kosuke Suzuki,,,,,Kosuke SuzukiNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Shunya Takeyasu,,,,,Shunya TakeyasuNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Cedric Gugler,,,,,Cedric GuglerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ashun Wu,,,,,Ashun WuNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Eun Shin Park,,,,,Eun Shin ParkNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Martin Vorster,,,,,Martin VorsterNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Chandler Blanchet,,,,,Chandler BlanchetNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Soomin Lee,,,,,Soomin LeeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ahmad Baig,,,,,Ahmad BaigNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Cho Min-jun,,,,,Cho Min-junNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
David Kocher,,,,,David KocherNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Dustin Johnson,,,,,Dustin JohnsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Michael Johnson,,,,,Michael JohnsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Justin Walters,,,,,Justin WaltersNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Sam Hutsby,,,,,Sam HutsbyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Lloyd Jefferson Go,,,,,Lloyd Jefferson GoNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
David Horsey,,,,,David HorseyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Rafa Cabrera Bello,,,,,Rafa Cabrera BelloNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jean Hugo,,,,,Jean HugoNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
William McGirt,,,,,William McGirtNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Runchanapong Youprayong,,,,,Runchanapong YouprayongNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
,,,,,Not Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Hunter Epson,,,,,Hunter EpsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
James Nicholas,,,,,James NicholasNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Paul Haley II,,,,,Paul Haley IINot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Tom Lewis,,,,,Tom LewisNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Bryce Garnett,,,,,Bryce GarnettNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
A.J. McInerney,,,,,A.J. McInerneyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Sebastián Muñoz,,,,,Sebastián MuñozNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ryan Lumsden,,,,,Ryan LumsdenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Manuel Relancio Menendez,,,,,Manuel Relancio MenendezNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Evan Harmeling,,,,,Evan HarmelingNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
David Lingmerth,,,,,David LingmerthNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Soren Kjeldsen,,,,,Soren KjeldsenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Evan Katz,,,,,Evan KatzNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
D.J. Trahan,,,,,D.J. TrahanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Tom Murray,,,,,Tom MurrayNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Michael Kim,,,,,Michael KimNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
David Bradshaw,,,,,David BradshawNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Tom Sloman,,,,,Tom SlomanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Evan Grenus,,,,,Evan GrenusNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Kornkamol Sukareekul,,,,,Kornkamol SukareekulNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Aaron Wise,,,,,Aaron WiseNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Arjun Atwal,,,,,Arjun AtwalNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Morgan Hoffmann,,,,,Morgan HoffmannNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Scott Brown,,,,,Scott BrownNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Matt Sharpstene,,,,,Matt SharpsteneNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ricardo Celia,,,,,Ricardo CeliaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Daniel Gale,,,,,Daniel GaleNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jako Van Zyl,,,,,Jako Van ZylNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Yoshitsugu Yuki,,,,,Yoshitsugu YukiNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Sangmoon Bae,,,,,Sangmoon BaeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Drew Nesbitt,,,,,Drew NesbittNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Nathan Petronzio,,,,,Nathan PetronzioNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Torey Edwards,,,,,Torey EdwardsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ryan Sullivan,,,,,Ryan SullivanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Alejandro Cañizares,,,,,Alejandro CañizaresNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Marc Warren,,,,,Marc WarrenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Michael Block,,,,,Michael BlockNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Tjaart van der Walt,,,,,Tjaart van der WaltNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Myles Lewis,,,,,Myles LewisNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Thomas Longbella,,,,,Thomas LongbellaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Chris Baker,,,,,Chris BakerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ryan Brehm,,,,,Ryan BrehmNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Mitch Sutton,,,,,Mitch SuttonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jack Wall,,,,,Jack WallNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Martin Simonsen,,,,,Martin SimonsenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Aaron Cockerill,,,,,Aaron CockerillNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ben Carr,,,,,Ben CarrNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Josh Hill,,,,,Josh HillNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
M.J. Daffue,,,,,M.J. DaffueNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Evan Russell,,,,,Evan RussellNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
David Hearn,,,,,David HearnNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Matt Every,,,,,Matt EveryNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Matt Short,,,,,Matt ShortNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jack Trent,,,,,Jack TrentNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Steven Alker,,,,,Steven AlkerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Dawie van der Walt,,,,,Dawie van der WaltNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jarryd Felton,,,,,Jarryd FeltonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Thomas Power Horan,,,,,Thomas Power HoranNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Michael Brennan,,,,,Michael BrennanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Chase Hanna,,,,,Chase HannaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Matt Saulez,,,,,Matt SaulezNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ashton Turner,,,,,Ashton TurnerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
David Nyfjäll,,,,,David NyfjällNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Cameron Percy,,,,,Cameron PercyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ben Eccles,,,,,Ben EcclesNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Blair Hamilton,,,,,Blair HamiltonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
James Allenby,,,,,James AllenbyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Rhein Gibson,,,,,Rhein GibsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
George Bryan IV,,,,,George Bryan IVNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Jack Singh Brar,,,,,Jack Singh BrarNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Matt Ryan,,,,,Matt RyanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Trevor Sluman,,,,,Trevor SlumanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
,,,,,Not Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Oihan Guillamoundeguy,,,,,Oihan GuillamoundeguyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Victor Dubuisson,,,,,Victor DubuissonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Tom Vaillant,,,,,Tom VaillantNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Ollie Osborne,,,,,Ollie OsborneNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Laurie Owen,,,,,Laurie OwenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Manuel Quiros,,,,,Manuel QuirosNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Chris Williams,,,,,Chris WilliamsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Tyler Strafaci,,,,,Tyler StrafaciNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
David Howell,,,,,David HowellNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
Tom McGee,,,,,Tom McGeeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
David Cooke,,,,,David CookeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,PLAYS FROM
